figure,subplot,gvs_code,time_index,n_subjects,mean,ci95_low,ci95_high,sd_between_subjects,iqr_between_subjects,raw_mean,raw_sd_between_subjects,direction_reference,direction,n_same_direction,prop_same_direction
gvs_minus_sham,gvs2,gvs-03,5,18,-0.0012756681810545056,-0.004663835068905609,0.002099477352995772,0.007600529564052077,0.005222554887868474,-0.0012756681810545056,0.007600529564052077,-0.0012756681810545056,negative,10,0.5555555555555556
gvs_minus_sham,gvs2,gvs-03,6,18,-0.0008293536740024,-0.0037135796768868736,0.002159495331566078,0.006598521915512379,0.006377190308495775,-0.0008293536740024,0.006598521915512379,-0.0008293536740024,negative,8,0.4444444444444444
gvs_minus_sham,gvs2,gvs-03,7,18,-0.0001464222222970882,-0.0026509738546358925,0.002665310859096318,0.005981409629638239,0.0052719394300596994,-0.0001464222222970882,0.005981409629638239,-0.0001464222222970882,negative,9,0.5
gvs_minus_sham,gvs2,gvs-03,8,18,-0.0008919569364098899,-0.003665349038062491,0.002067269032423288,0.006357530863010656,0.007222702567253022,-0.0008919569364098899,0.006357530863010656,-0.0008919569364098899,negative,13,0.7222222222222222
gvs_minus_sham,gvs3,gvs-04,0,18,-9.152904010627867e-06,-0.004469283622583024,0.003766924855672065,0.009120967067272685,0.008017847849393075,-9.152904010627867e-06,0.009120967067272685,-9.152904010627867e-06,negative,7,0.3888888888888889
gvs_minus_sham,gvs3,gvs-04,1,18,0.000625137910448557,-0.003313616811445493,0.0037478832636950975,0.007931999307226309,0.00354665371776715,0.000625137910448557,0.007931999307226309,0.000625137910448557,positive,10,0.5555555555555556
gvs_minus_sham,gvs3,gvs-04,2,18,0.0010108640980556497,-0.002390844430632592,0.0037073695402992488,0.006846837871282168,0.0054905269817480005,0.0010108640980556497,0.006846837871282168,0.0010108640980556497,positive,13,0.7222222222222222
gvs_minus_sham,gvs3,gvs-04,3,18,-0.001592710613245011,-0.004456627759290485,0.0009272598120744785,0.0059369424594392945,0.007299813501684949,-0.001592710613245011,0.0059369424594392945,-0.001592710613245011,negative,10,0.5555555555555556
gvs_minus_sham,gvs3,gvs-04,4,18,-0.002436999995675394,-0.0052373319017843,0.00010499866544948307,0.005849800813572963,0.006927945862547525,-0.002436999995675394,0.005849800813572963,-0.002436999995675394,negative,13,0.7222222222222222
gvs_minus_sham,gvs3,gvs-04,5,18,-0.0030546780867225613,-0.006122433500260869,-0.0001336478090583631,0.006735621824221687,0.008409410947864574,-0.0030546780867225613,0.006735621824221687,-0.0030546780867225613,negative,11,0.6111111111111112
gvs_minus_sham,gvs3,gvs-04,6,18,-0.002556181592643839,-0.005877056903943029,0.0006202068006887913,0.007297062121507898,0.0077294616553947,-0.002556181592643839,0.007297062121507898,-0.002556181592643839,negative,10,0.5555555555555556
gvs_minus_sham,gvs3,gvs-04,7,18,-0.0014217048499162834,-0.004924640365404198,0.0017981788237530839,0.007562448628753011,0.0051652021522730004,-0.0014217048499162834,0.007562448628753011,-0.0014217048499162834,negative,9,0.5
