figure,subplot,gvs_code,time_index,n_subjects,mean,ci95_low,ci95_high,sd_between_subjects,iqr_between_subjects,raw_mean,raw_sd_between_subjects,direction_reference,direction,n_same_direction,prop_same_direction
original_signal_subject_centered,gvs1,gvs-02,3,18,0.025577597741491764,0.023988438508893532,0.02711144746504254,0.003524308783063365,0.004768971977111014,0.025577597741491764,0.739412526655712,0.0026807900487671606,positive,15,0.8333333333333334
original_signal_subject_centered,gvs1,gvs-02,4,18,0.02509182038844519,0.022860915551290766,0.026968668514101783,0.004704992790445293,0.0039818850273429796,0.02509182038844519,0.7401426199102077,0.0021950126957205832,positive,14,0.7777777777777778
original_signal_subject_centered,gvs1,gvs-02,5,18,0.02288373433244971,0.020673134736641355,0.025087963375819155,0.004901194510551786,0.0058718730874679215,0.02288373433244973,0.7394663932097527,-1.3073360274893079e-05,negative,9,0.5
original_signal_subject_centered,gvs1,gvs-02,6,18,0.022904917562676888,0.02072590055286815,0.02511009196108958,0.00493903193153317,0.003970907868117879,0.022904917562676888,0.739270160761837,8.10986995228495e-06,positive,11,0.6111111111111112
original_signal_subject_centered,gvs1,gvs-02,7,18,0.020872648457037155,0.01859338980145821,0.023288503312039358,0.005206793790405571,0.004439361641930206,0.020872648457037166,0.7377867416966807,-0.0020241592356874502,negative,12,0.6666666666666666
original_signal_subject_centered,gvs1,gvs-02,8,18,0.019736446791256447,0.01745968141517963,0.022049787661856973,0.005089143408392711,0.007327663093869653,0.01973644679125645,0.7361424211705513,-0.0031603609014681593,negative,12,0.6666666666666666
original_signal_subject_centered,gvs2,gvs-03,0,18,0.021633066339582025,0.01952339334551621,0.023790951937963524,0.004728030440450353,0.0072353050657819155,0.021633066339582032,0.7412474656736645,-0.0026109049593597226,negative,12,0.6666666666666666
original_signal_subject_centered,gvs2,gvs-03,1,18,0.023958022134210756,0.022043594011062227,0.026283041289993345,0.004853931328472801,0.0045222224428442745,0.023958022134210753,0.7413521591553323,-0.000285949164730992,negative,11,0.6111111111111112
original_signal_subject_centered,gvs2,gvs-03,2,18,0.0265425332372574,0.024691387505635615,0.028765000784681367,0.004519450434938597,0.004637648379298892,0.026542533237257398,0.7406467153774301,0.0022985619383156524,positive,11,0.6111111111111112
original_signal_subject_centered,gvs2,gvs-03,3,18,0.026716136466553433,0.025434961333172357,0.02794232713846554,0.0027970419588228433,0.002598853626776254,0.026716136466553433,0.7411001961757437,0.002472165167611683,positive,17,0.9444444444444444
original_signal_subject_centered,gvs2,gvs-03,4,18,0.02532770202354362,0.023684511390357006,0.027019054072812965,0.003734507169192846,0.004151348451483988,0.02532770202354362,0.7419773887098943,0.0010837307246018705,positive,11,0.6111111111111112
original_signal_subject_centered,gvs2,gvs-03,5,18,0.024934435341668105,0.022378013127256968,0.02728633532480821,0.00542147922976556,0.0046932675436107685,0.02493443534166811,0.742740035303194,0.0006904640427263585,positive,10,0.5555555555555556
original_signal_subject_centered,gvs2,gvs-03,6,18,0.024785401114071775,0.0219821233911856,0.027334502339945964,0.006088782880795764,0.007651052047439058,0.024785401114071768,0.7429098385877991,0.0005414298151300267,positive,10,0.5555555555555556
original_signal_subject_centered,gvs2,gvs-03,7,18,0.023365071488011275,0.02130628590866357,0.025569308696420375,0.004793710079918715,0.004239410437462975,0.02336507148801129,0.7416650010469852,-0.0008788998109304726,negative,12,0.6666666666666666
original_signal_subject_centered,gvs2,gvs-03,8,18,0.020933373545577363,0.018606294567596687,0.023327618145828434,0.005279679014031133,0.003725301446787538,0.020933373545577356,0.7408625711774096,-0.003310597753364384,negative,15,0.8333333333333334
