roi_name,roi_total_voxels,vigour_only_voxels,vigour_only_pct_of_roi,task_only_voxels,task_only_pct_of_roi,same_voxel_overlap_voxels,same_voxel_overlap_pct_of_roi,vigour_total_voxels,vigour_network_pct_of_roi,task_total_voxels,task_activation_pct_of_roi,union_voxels,selected_union_pct_of_roi,roi_status
Lateral_Occipital_Cortex_inferior_division,476,0,0.0,64,0.13445378151260504,0,0.0,0,0.0,64,0.13445378151260504,64,0.13445378151260504,Task activation network only in ROI
Heschl,399,0,0.0,61,0.15288220551378445,0,0.0,0,0.0,61,0.15288220551378445,61,0.15288220551378445,Task activation network only in ROI
Cerebellum_10,296,0,0.0,56,0.1891891891891892,0,0.0,0,0.0,56,0.1891891891891892,56,0.1891891891891892,Task activation network only in ROI
Temporal_Pole,514,29,0.05642023346303502,12,0.023346303501945526,0,0.0,29,0.05642023346303502,12,0.023346303501945526,41,0.07976653696498054,"Both maps in ROI, no shared voxels"
Olfactory,460,36,0.0782608695652174,0,0.0,0,0.0,36,0.0782608695652174,0,0.0,36,0.0782608695652174,Vigour network only in ROI
Thal_VL,145,7,0.04827586206896552,21,0.14482758620689656,0,0.0,7,0.04827586206896552,21,0.14482758620689656,28,0.19310344827586207,"Both maps in ROI, no shared voxels"
Postcentral_Gyrus,177,3,0.01694915254237288,18,0.1016949152542373,1,0.005649717514124294,4,0.022598870056497175,19,0.10734463276836158,22,0.12429378531073447,Shared voxels present
Cingulate_Gyrus_posterior_division,162,0,0.0,21,0.12962962962962962,0,0.0,0,0.0,21,0.12962962962962962,21,0.12962962962962962,Task activation network only in ROI
Superior_Parietal_Lobule,53,0,0.0,21,0.39622641509433965,0,0.0,0,0.0,21,0.39622641509433965,21,0.39622641509433965,Task activation network only in ROI
Temporal_Fusiform_Cortex_anterior_division,153,18,0.11764705882352941,0,0.0,0,0.0,18,0.11764705882352941,0,0.0,18,0.11764705882352941,Vigour network only in ROI
Vermis_7,194,0,0.0,18,0.09278350515463918,0,0.0,0,0.0,18,0.09278350515463918,18,0.09278350515463918,Task activation network only in ROI
Precentral_Gyrus,180,7,0.03888888888888889,10,0.05555555555555555,0,0.0,7,0.03888888888888889,10,0.05555555555555555,17,0.09444444444444444,"Both maps in ROI, no shared voxels"
Supramarginal_Gyrus_anterior_division,133,0,0.0,16,0.12030075187969924,0,0.0,0,0.0,16,0.12030075187969924,16,0.12030075187969924,Task activation network only in ROI
Vermis_10,28,0,0.0,15,0.5357142857142857,0,0.0,0,0.0,15,0.5357142857142857,15,0.5357142857142857,Task activation network only in ROI
Lateral_Occipital_Cortex_superior_division,598,7,0.011705685618729096,7,0.011705685618729096,0,0.0,7,0.011705685618729096,7,0.011705685618729096,14,0.023411371237458192,"Both maps in ROI, no shared voxels"
Inferior_Temporal_Gyrus_posterior_division,274,13,0.04744525547445255,0,0.0,0,0.0,13,0.04744525547445255,0,0.0,13,0.04744525547445255,Vigour network only in ROI
Cerebellum_Crus2,4012,0,0.0,11,0.0027417746759720836,0,0.0,0,0.0,11,0.0027417746759720836,11,0.0027417746759720836,Task activation network only in ROI
Thal_VPL,66,0,0.0,11,0.16666666666666666,0,0.0,0,0.0,11,0.16666666666666666,11,0.16666666666666666,Task activation network only in ROI
Thal_LGN,17,0,0.0,10,0.5882352941176471,0,0.0,0,0.0,10,0.5882352941176471,10,0.5882352941176471,Task activation network only in ROI
ACC_pre,1063,0,0.0,8,0.007525870178739417,0,0.0,0,0.0,8,0.007525870178739417,8,0.007525870178739417,Task activation network only in ROI
ACC_sub,204,8,0.0392156862745098,0,0.0,0,0.0,8,0.0392156862745098,0,0.0,8,0.0392156862745098,Vigour network only in ROI
OFCant,1027,1,0.0009737098344693282,7,0.006815968841285297,0,0.0,1,0.0009737098344693282,7,0.006815968841285297,8,0.007789678675754625,"Both maps in ROI, no shared voxels"
Parahippocampal_Gyrus_anterior_division,178,8,0.0449438202247191,0,0.0,0,0.0,8,0.0449438202247191,0,0.0,8,0.0449438202247191,Vigour network only in ROI
Supramarginal_Gyrus_posterior_division,123,1,0.008130081300813009,7,0.056910569105691054,0,0.0,1,0.008130081300813009,7,0.056910569105691054,8,0.06504065040650407,"Both maps in ROI, no shared voxels"
Thalamus,251,2,0.00796812749003984,6,0.02390438247011952,0,0.0,2,0.00796812749003984,6,0.02390438247011952,8,0.03187250996015936,"Both maps in ROI, no shared voxels"
Frontal_Orbital_Cortex,123,6,0.04878048780487805,1,0.008130081300813009,0,0.0,6,0.04878048780487805,1,0.008130081300813009,7,0.056910569105691054,"Both maps in ROI, no shared voxels"
Frontal_Med_Orb,1210,6,0.0049586776859504135,0,0.0,0,0.0,6,0.0049586776859504135,0,0.0,6,0.0049586776859504135,Vigour network only in ROI
Lingual_Gyrus,134,0,0.0,6,0.04477611940298507,0,0.0,0,0.0,6,0.04477611940298507,6,0.04477611940298507,Task activation network only in ROI
Supracalcarine_Cortex,15,0,0.0,6,0.4,0,0.0,0,0.0,6,0.4,6,0.4,Task activation network only in ROI
OFClat,385,0,0.0,5,0.012987012987012988,0,0.0,0,0.0,5,0.012987012987012988,5,0.012987012987012988,Task activation network only in ROI
Occipital_Fusiform_Gyrus,19,0,0.0,5,0.2631578947368421,0,0.0,0,0.0,5,0.2631578947368421,5,0.2631578947368421,Task activation network only in ROI
Precuneous_Cortex,76,0,0.0,5,0.06578947368421052,0,0.0,0,0.0,5,0.06578947368421052,5,0.06578947368421052,Task activation network only in ROI
Central_Opercular_Cortex,9,0,0.0,3,0.3333333333333333,0,0.0,0,0.0,3,0.3333333333333333,3,0.3333333333333333,Task activation network only in ROI
Cerebellum_3,4,0,0.0,3,0.75,0,0.0,0,0.0,3,0.75,3,0.75,Task activation network only in ROI
Middle_Temporal_Gyrus_temporooccipital_part,55,0,0.0,3,0.05454545454545454,0,0.0,0,0.0,3,0.05454545454545454,3,0.05454545454545454,Task activation network only in ROI
Occipital_Pole,938,0,0.0,3,0.0031982942430703624,0,0.0,0,0.0,3,0.0031982942430703624,3,0.0031982942430703624,Task activation network only in ROI
Thal_PuI,6,0,0.0,3,0.5,0,0.0,0,0.0,3,0.5,3,0.5,Task activation network only in ROI
Thal_VA,32,0,0.0,3,0.09375,0,0.0,0,0.0,3,0.09375,3,0.09375,Task activation network only in ROI
Angular_Gyrus,77,2,0.025974025974025976,0,0.0,0,0.0,2,0.025974025974025976,0,0.0,2,0.025974025974025976,Vigour network only in ROI
Cingulate_Gyrus_anterior_division,49,0,0.0,2,0.04081632653061224,0,0.0,0,0.0,2,0.04081632653061224,2,0.04081632653061224,Task activation network only in ROI
Thal_AV,17,0,0.0,2,0.11764705882352941,0,0.0,0,0.0,2,0.11764705882352941,2,0.11764705882352941,Task activation network only in ROI
Frontal_Opercular_Cortex,13,0,0.0,1,0.07692307692307693,0,0.0,0,0.0,1,0.07692307692307693,1,0.07692307692307693,Task activation network only in ROI
Inferior_Temporal_Gyrus_temporooccipital_part,10,0,0.0,1,0.1,0,0.0,0,0.0,1,0.1,1,0.1,Task activation network only in ROI
Middle_Temporal_Gyrus_posterior_division,63,1,0.015873015873015872,0,0.0,0,0.0,1,0.015873015873015872,0,0.0,1,0.015873015873015872,Vigour network only in ROI
Parahippocampal_Gyrus_posterior_division,6,0,0.0,1,0.16666666666666666,0,0.0,0,0.0,1,0.16666666666666666,1,0.16666666666666666,Task activation network only in ROI
Parietal_Opercular_Cortex,19,0,0.0,1,0.05263157894736842,0,0.0,0,0.0,1,0.05263157894736842,1,0.05263157894736842,Task activation network only in ROI
Subcallosal_Cortex,116,1,0.008620689655172414,0,0.0,0,0.0,1,0.008620689655172414,0,0.0,1,0.008620689655172414,Vigour network only in ROI
Superior_Frontal_Gyrus,75,0,0.0,1,0.013333333333333334,0,0.0,0,0.0,1,0.013333333333333334,1,0.013333333333333334,Task activation network only in ROI
Thal_PuL,32,0,0.0,1,0.03125,0,0.0,0,0.0,1,0.03125,1,0.03125,Task activation network only in ROI
