subject,gvs,gvs_label,mean_inv_rt_low,mean_inv_rt_high,median_inv_rt_low,median_inv_rt_high,n_low,n_high,delta_inv_rt_high_minus_low,percent_change_high_vs_low
PSPD010,3,GVS3,0.3382222222222222,0.3457777777777778,0.3315,0.336,18,18,0.007555555555555593,2.2339027595269494
PSPD010,4,GVS4,0.3709444444444444,0.35600000000000004,0.377,0.3335,18,18,-0.014944444444444371,-4.0287554290848995
PSPD010,5,GVS5,0.35916666666666663,0.3451666666666667,0.344,0.33,18,18,-0.013999999999999957,-3.8979118329466242
PSPD010,6,GVS6,0.3585555555555555,0.3427777777777778,0.3575,0.3305,18,18,-0.015777777777777724,-4.400371862410894
PSPD010,7,GVS7,0.35438888888888886,0.3491111111111111,0.3405,0.34750000000000003,18,18,-0.00527777777777777,-1.4892616397554455
PSPD010,8,GVS8,0.33266666666666667,0.3617222222222222,0.3335,0.36349999999999993,18,18,0.029055555555555557,8.734134936539748
PSPD010,9,GVS9,0.3462222222222222,0.3338888888888889,0.3425,0.326,18,18,-0.012333333333333307,-3.562259306803587
PSPD011,1,Sham,0.5345625,0.4434705882352941,0.4465,0.41600000000000004,16,17,-0.09109191176470594,-17.04046051952876
PSPD011,2,GVS2,0.5012666666666666,0.45413333333333333,0.4580000000000001,0.442,15,15,-0.047133333333333305,-9.402846123154669
PSPD011,3,GVS3,0.4604,0.43653333333333333,0.462,0.426,15,15,-0.023866666666666647,-5.183898059658265
PSPD011,4,GVS4,0.4532941176470588,0.4344375,0.442,0.4375,17,16,-0.018856617647058815,-4.159907864002075
PSPD011,5,GVS5,0.4744375,0.52,0.4485,0.5,16,16,0.045562500000000006,9.603477802661047
PSPD011,6,GVS6,0.48029411764705887,0.48341666666666666,0.463,0.4785,17,12,0.00312254901960779,0.6501326801387927
PSPD011,7,GVS7,0.46147058823529413,0.4335714285714286,0.44600000000000006,0.4385,17,14,-0.027899159663865525,-6.045707001729942
PSPD011,8,GVS8,0.4416,0.47313333333333335,0.422,0.46,15,15,0.03153333333333336,7.140700483091794
PSPD011,9,GVS9,0.43712500000000004,0.4818,0.40900000000000003,0.44499999999999995,16,15,0.044674999999999965,10.220188733199878
PSPD012,1,Sham,0.25929411764705884,0.31157142857142855,0.3,0.325,17,14,0.05227731092436971,20.16139486647652
PSPD012,2,GVS2,0.28485714285714286,0.31716666666666665,0.304,0.31,14,12,0.03230952380952379,11.342360414577056
PSPD012,3,GVS3,0.31625000000000003,0.3050625,0.317,0.3055,16,16,-0.011187500000000017,-3.5375494071146294
PSPD012,4,GVS4,0.3159375,0.3013571428571429,0.3065,0.302,16,14,-0.014580357142857103,-4.614949837501754
PSPD012,5,GVS5,0.3272142857142857,0.3182,0.318,0.312,14,15,-0.009014285714285697,-2.75485701811831
PSPD012,6,GVS6,0.2735,0.3285,0.2955,0.3105,16,16,0.05499999999999999,20.10968921389396
PSPD012,7,GVS7,0.3174,0.2998571428571428,0.318,0.3025,15,14,-0.017542857142857193,-5.5270501395265255
PSPD012,8,GVS8,0.3243846153846154,0.30514285714285716,0.325,0.302,13,14,-0.019241758241758222,-5.9317727565296865
PSPD012,9,GVS9,0.3255625,0.3382,0.313,0.332,16,15,0.012637500000000024,3.881743136878487
PSPD013,1,Sham,0.3708888888888889,0.3375,0.3695,0.333,18,18,-0.03338888888888886,-9.002396644697416
PSPD013,2,GVS2,0.37383333333333335,0.3553888888888889,0.365,0.3435,18,18,-0.01844444444444443,-4.933868331104172
PSPD013,3,GVS3,0.3527777777777778,0.3617222222222222,0.3405,0.3555,18,18,0.008944444444444422,2.535433070866135
PSPD013,4,GVS4,0.3579444444444444,0.3581111111111111,0.36,0.3555,18,18,0.00016666666666670382,0.046562160484256855
PSPD013,5,GVS5,0.34788888888888886,0.34711111111111115,0.349,0.3415,18,18,-0.0007777777777777106,-0.22357074417117204
PSPD013,6,GVS6,0.3709444444444444,0.36144444444444446,0.3705,0.3515,18,18,-0.009499999999999953,-2.5610304028755304
PSPD013,7,GVS7,0.3522222222222222,0.34933333333333333,0.3465,0.3425,18,18,-0.0028888888888888853,-0.8201892744479485
PSPD013,8,GVS8,0.37066666666666664,0.36833333333333335,0.3695,0.348,18,18,-0.0023333333333332984,-0.6294964028776885
PSPD013,9,GVS9,0.35605555555555557,0.35261111111111115,0.34199999999999997,0.34299999999999997,18,18,-0.0034444444444444167,-0.9673896083632314
PSPD014,1,Sham,0.3433888888888889,0.3262222222222222,0.3375,0.317,18,18,-0.01716666666666672,-4.99919106940626
PSPD014,2,GVS2,0.3297222222222222,0.3215,0.3225,0.3125,18,18,-0.008222222222222186,-2.4936815501263583
PSPD014,3,GVS3,0.3168888888888889,0.32772222222222225,0.308,0.335,18,18,0.010833333333333361,3.4186535764375967
PSPD014,4,GVS4,0.31972222222222224,0.33094444444444443,0.312,0.3185,18,18,0.011222222222222189,3.5099913119026827
PSPD014,5,GVS5,0.3368888888888889,0.33511111111111114,0.3265,0.323,18,18,-0.001777777777777767,-0.5277044854881234
PSPD014,6,GVS6,0.3461666666666667,0.3372777777777778,0.3345,0.3275,18,18,-0.00888888888888889,-2.567806130637137
PSPD014,7,GVS7,0.3234444444444444,0.31855555555555554,0.323,0.3185,18,18,-0.004888888888888887,-1.5115080728272068
PSPD014,8,GVS8,0.33494444444444443,0.3293888888888889,0.326,0.32,18,18,-0.005555555555555536,-1.6586498590147563
PSPD014,9,GVS9,0.3207222222222222,0.32733333333333337,0.322,0.324,18,18,0.006611111111111179,2.0613199376407625
PSPD015,1,Sham,0.41341176470588237,0.40555555555555556,0.387,0.3795,17,18,-0.00785620915032681,-1.9003351672674411
PSPD015,2,GVS2,0.435,0.44156249999999997,0.4285,0.4315,16,16,0.006562499999999971,1.5086206896551657
PSPD015,3,GVS3,0.4237058823529412,0.4122222222222222,0.392,0.3965000000000001,17,18,-0.011483660130718998,-2.710290465392516
PSPD015,4,GVS4,0.6092941176470589,0.4066111111111111,0.417,0.383,17,18,-0.20268300653594779,-33.26521636523568
PSPD015,5,GVS5,0.4548888888888889,0.4513888888888889,0.43,0.4035,18,18,-0.003500000000000003,-0.7694186614557896
PSPD015,6,GVS6,0.45399999999999996,0.4085,0.4315,0.389,18,18,-0.045499999999999985,-10.02202643171806
PSPD015,7,GVS7,0.4048333333333333,0.4305294117647059,0.3875,0.392,18,17,0.02569607843137256,6.347322790787787
PSPD015,8,GVS8,0.40627777777777774,0.39223529411764707,0.37849999999999995,0.396,18,17,-0.014042483660130667,-3.4563750291583757
PSPD015,9,GVS9,0.4057058823529412,0.4143529411764706,0.377,0.378,17,17,0.008647058823529397,2.1313614615049983
PSPD017,1,Sham,0.374,0.3438888888888889,0.379,0.329,9,9,-0.03011111111111109,-8.051099227569809
PSPD017,2,GVS2,0.363,0.35744444444444445,0.35,0.332,9,9,-0.005555555555555536,-1.530456075910616
PSPD017,3,GVS3,0.3668888888888889,0.34099999999999997,0.348,0.35,9,9,-0.025888888888888906,-7.056329497274383
PSPD017,4,GVS4,0.32966666666666666,0.35644444444444445,0.33,0.323,9,9,0.02677777777777779,8.122682844624203
PSPD017,5,GVS5,0.33544444444444443,0.38266666666666665,0.336,0.339,9,9,0.04722222222222222,14.077509108976484
PSPD017,6,GVS6,0.3675555555555555,0.3441111111111111,0.368,0.341,9,9,-0.023444444444444434,-6.378476420798062
PSPD017,7,GVS7,0.3681111111111111,0.34644444444444444,0.34,0.347,9,9,-0.021666666666666667,-5.88590401448838
PSPD017,8,GVS8,0.33466666666666667,0.38522222222222224,0.322,0.342,9,9,0.050555555555555576,15.106241699867203
PSPD017,9,GVS9,0.3571111111111111,0.346,0.344,0.335,9,9,-0.011111111111111127,-3.111387678904796
PSPD018,1,Sham,0.48025,0.47044444444444444,0.4745,0.4655,16,18,-0.009805555555555567,-2.0417606570651885
PSPD018,2,GVS2,0.49923529411764705,0.4534375,0.508,0.4425,17,16,-0.04579779411764706,-9.17358901849888
PSPD018,3,GVS3,0.47473333333333334,0.4492142857142857,0.482,0.4415,15,14,-0.025519047619047663,-5.375448873553082
PSPD018,4,GVS4,0.469,0.49338461538461537,0.47500000000000003,0.483,13,13,0.024384615384615393,5.199278333606695
PSPD018,5,GVS5,0.46946666666666664,0.46035714285714285,0.466,0.448,15,14,-0.00910952380952379,-1.9403984257718951
PSPD018,6,GVS6,0.4906,0.48033333333333333,0.47300000000000003,0.48800000000000004,15,15,-0.010266666666666646,-2.092675635276528
PSPD018,7,GVS7,0.48864705882352943,0.5288,0.4580000000000001,0.45300000000000007,17,15,0.04015294117647061,8.217166245335264
PSPD018,8,GVS8,0.4682142857142857,0.4549230769230769,0.4525,0.408,14,13,-0.01329120879120882,-2.838702106436666
PSPD018,9,GVS9,0.4970666666666667,0.46985714285714286,0.503,0.45100000000000007,15,14,-0.02720952380952385,-5.474019006744336
PSPD020,1,Sham,0.38666666666666666,0.33977777777777773,0.37849999999999995,0.3375,18,18,-0.046888888888888924,-12.126436781609206
PSPD020,2,GVS2,0.35827777777777775,0.3516111111111111,0.358,0.335,18,18,-0.006666666666666654,-1.8607536052101068
PSPD020,3,GVS3,0.3719375,0.35644444444444445,0.369,0.34750000000000003,16,18,-0.015493055555555524,-4.165499729270516
PSPD020,4,GVS4,0.3642222222222222,0.3537222222222222,0.365,0.35,18,18,-0.01050000000000001,-2.8828553996339257
PSPD020,5,GVS5,0.359,0.34938888888888886,0.3595,0.345,18,18,-0.009611111111111126,-2.677189724543489
PSPD020,6,GVS6,0.3693333333333333,0.3516111111111111,0.3575,0.3415,18,18,-0.017722222222222195,-4.798435619735252
PSPD020,7,GVS7,0.3605555555555556,0.3644444444444444,0.348,0.3585,18,18,0.0038888888888888307,1.0785824345146218
PSPD020,8,GVS8,0.3723888888888889,0.34705555555555556,0.3565,0.332,18,18,-0.02533333333333332,-6.802924063852003
PSPD020,9,GVS9,0.3716111111111111,0.33805555555555555,0.3695,0.338,18,18,-0.03355555555555556,-9.029750336373151
PSPD023,1,Sham,0.39416666666666667,0.3767222222222222,0.3855,0.36249999999999993,18,18,-0.017444444444444485,-4.425651867512343
PSPD023,2,GVS2,0.373,0.37844444444444447,0.378,0.374,18,18,0.005444444444444474,1.4596365802800197
PSPD023,3,GVS3,0.38961111111111113,0.3671176470588235,0.395,0.36699999999999994,18,17,-0.022493464052287637,-5.773311748769106
PSPD023,4,GVS4,0.392,0.3935,0.38349999999999995,0.378,18,18,0.0015000000000000013,0.3826530612244901
PSPD023,5,GVS5,0.37616666666666665,0.3855,0.3675,0.368,18,18,0.00933333333333336,2.4811696942844557
PSPD023,6,GVS6,0.3716111111111111,0.37166666666666665,0.3695,0.3715,18,18,5.555555555553093e-05,0.014949917775445609
PSPD023,7,GVS7,0.41194444444444445,0.36633333333333334,0.39849999999999997,0.36849999999999994,18,18,-0.0456111111111111,-11.072151045178689
PSPD023,8,GVS8,0.3907222222222222,0.38411111111111107,0.38649999999999995,0.379,18,18,-0.006611111111111123,-1.692023318640697
PSPD023,9,GVS9,0.3933333333333333,0.3692777777777778,0.38450000000000006,0.363,18,18,-0.024055555555555497,-6.115819209039533
PSPD024,1,Sham,0.34629411764705886,0.31923529411764706,0.36,0.316,17,17,-0.027058823529411802,-7.813827076609488
PSPD024,2,GVS2,0.3418888888888889,0.29225,0.3495,0.3045,18,16,-0.0496388888888889,-14.519012024699386
PSPD024,3,GVS3,0.3465625,0.35172222222222227,0.3415,0.3375,16,18,0.005159722222222274,1.4888287746718916
PSPD024,4,GVS4,0.3301176470588235,0.3366470588235294,0.312,0.333,17,17,0.006529411764705895,1.9779044903777658
PSPD024,5,GVS5,0.3347058823529412,0.34205882352941175,0.328,0.333,17,17,0.007352941176470562,2.196836555360273
PSPD024,6,GVS6,0.3308888888888889,0.3193888888888889,0.336,0.335,18,18,-0.01150000000000001,-3.475486903962394
PSPD024,7,GVS7,0.35094117647058826,0.32623529411764707,0.341,0.337,17,17,-0.02470588235294119,-7.0398927254441865
PSPD024,8,GVS8,0.31233333333333335,0.32476470588235296,0.328,0.315,18,17,0.012431372549019604,3.9801619687362657
PSPD024,9,GVS9,0.3181875,0.30494117647058827,0.3115,0.307,16,17,-0.013246323529411741,-4.163055911816693
PSPD028,1,Sham,0.5130555555555555,0.4621764705882353,0.4680000000000001,0.448,18,17,-0.05087908496732019,-9.916876333641186
PSPD028,2,GVS2,0.4590714285714285,0.549375,0.4345,0.505,14,16,0.09030357142857143,19.67091955811421
PSPD028,3,GVS3,0.5041875,0.4778823529411765,0.465,0.47300000000000003,16,17,-0.02630514705882353,-5.217334237525431
PSPD028,4,GVS4,0.5006923076923078,0.5271428571428571,0.493,0.5025,13,14,0.026450549450549365,5.282795250532212
PSPD028,5,GVS5,0.4895555555555555,0.51525,0.4755,0.484,18,16,0.025694444444444464,5.2485247389922876
PSPD028,6,GVS6,0.5098235294117647,0.5311666666666667,0.483,0.516,17,18,0.021343137254902,4.186377447021276
PSPD028,7,GVS7,0.46288235294117647,0.5184705882352941,0.43699999999999994,0.47000000000000003,17,17,0.05558823529411766,12.00914982844072
PSPD028,8,GVS8,0.4986,0.47119999999999995,0.425,0.472,15,15,-0.027400000000000035,-5.495387083834745
PSPD028,9,GVS9,0.5529375,0.5275624999999999,0.4745,0.4985,16,16,-0.025375000000000036,-4.589126257488421
