model,status,term,coefficient,std_error,z_value,p_value,ci95_low,ci95_high,n_observations,n_subjects,covariance,formula
reward_by_medication_subject_fixed_effects,fit,C(subject)[T.PSPD028],0.16816845688903825,0.00041710505033338554,403.1801023618003,0.0,0.16735094601261505,0.16898596776546146,5393,18,cluster_robust_by_subject,inv_rt ~ reward_high * C(medication) + C(subject) + C(gvs) + C(run)
reward_by_medication_subject_fixed_effects,fit,C(gvs)[T.2],-0.0009812972033338317,0.0031638126549968526,-0.3101628668764548,0.7564371069255473,-0.00718225606095971,0.005219661654292047,5393,18,cluster_robust_by_subject,inv_rt ~ reward_high * C(medication) + C(subject) + C(gvs) + C(run)
reward_by_medication_subject_fixed_effects,fit,C(gvs)[T.3],-0.0019506852690025106,0.005124957480187747,-0.3806246737740836,0.7034817700239573,-0.011995417352469642,0.008094046814464621,5393,18,cluster_robust_by_subject,inv_rt ~ reward_high * C(medication) + C(subject) + C(gvs) + C(run)
reward_by_medication_subject_fixed_effects,fit,C(gvs)[T.4],0.0042947266469336,0.007109238189856201,0.6041050436404733,0.5457738065086066,-0.009639124162701278,0.01822857745656848,5393,18,cluster_robust_by_subject,inv_rt ~ reward_high * C(medication) + C(subject) + C(gvs) + C(run)
reward_by_medication_subject_fixed_effects,fit,C(gvs)[T.5],0.001083341165550663,0.004007754122631992,0.2703112846751202,0.7869207844881367,-0.0067717125736999634,0.00893839490480129,5393,18,cluster_robust_by_subject,inv_rt ~ reward_high * C(medication) + C(subject) + C(gvs) + C(run)
reward_by_medication_subject_fixed_effects,fit,C(gvs)[T.6],0.0009632334709266155,0.004281593577095838,0.2249707856624652,0.8220020013850184,-0.007428535736619247,0.009355002678472479,5393,18,cluster_robust_by_subject,inv_rt ~ reward_high * C(medication) + C(subject) + C(gvs) + C(run)
reward_by_medication_subject_fixed_effects,fit,C(gvs)[T.7],-0.00123979676737562,0.0043562536035575234,-0.2846016050036993,0.7759493814691116,-0.009777896937871192,0.007298303403119952,5393,18,cluster_robust_by_subject,inv_rt ~ reward_high * C(medication) + C(subject) + C(gvs) + C(run)
reward_by_medication_subject_fixed_effects,fit,C(gvs)[T.8],-0.006300806784621527,0.0033798435666418584,-1.8642302995348026,0.062289370095359786,-0.01292517844861897,0.00032356487937591685,5393,18,cluster_robust_by_subject,inv_rt ~ reward_high * C(medication) + C(subject) + C(gvs) + C(run)
reward_by_medication_subject_fixed_effects,fit,C(gvs)[T.9],-0.0032421206365992805,0.0055434515145739,-0.5848559562712236,0.5586445756564311,-0.014107085955208137,0.0076228446820095766,5393,18,cluster_robust_by_subject,inv_rt ~ reward_high * C(medication) + C(subject) + C(gvs) + C(run)
reward_by_medication_subject_fixed_effects,fit,C(run)[T.2],0.004703056837585222,0.0034719352394352618,1.3545923276927863,0.17554747925543546,-0.00210181118836334,0.011507924863533785,5393,18,cluster_robust_by_subject,inv_rt ~ reward_high * C(medication) + C(subject) + C(gvs) + C(run)
reward_by_medication_subject_fixed_effects,fit,reward_high,-0.007981600232904278,0.004157877538506119,-1.9196333126665346,0.05490423313732074,-0.016130890460504324,0.0001676899946957671,5393,18,cluster_robust_by_subject,inv_rt ~ reward_high * C(medication) + C(subject) + C(gvs) + C(run)
reward_by_medication_subject_fixed_effects,fit,reward_high:C(medication)[T.ON],8.255669284585056e-05,0.0059194219982739,0.013946749001832279,0.9888724650387047,-0.011519297233065112,0.011684410618756814,5393,18,cluster_robust_by_subject,inv_rt ~ reward_high * C(medication) + C(subject) + C(gvs) + C(run)
